,Rooms,Price,Distance,Postcode,Bathroom,Car,Landsize,Propertycount,Distancia_NEW,Longtitude,Lattitude,Location_TRA,BathsAndRooms
94,3,715000,13.5,3042,2,2,422,3464,19.5941770432597,144.8792,-37.7164,3.84127859498786,3.51590928152811
95,3,790000,13.5,3042,1,3,614,3464,19.1403599911394,144.8827,-37.7194,3.841065870613,5.71536201733444
96,2,460000,13.5,3042,1,1,133,3464,9.76278570817036,144.99726,-37.768584,3.84024166891964,5.68637068248592
97,3,540000,13.5,3042,2,1,161,3464,19.0061736321887,144.8802,-37.7231,3.84062285443137,3.49873258904177
98,3,825000,13.5,3042,2,1,293,3464,19.4107039569003,144.8776,-37.72,3.84086956521739,3.57889976257969
99,3,825000,13.5,3042,2,1,293,3464,3.60804603523033,145.0108,-37.8162,3.83462114120403,5.94122148541712
100,3,685000,13.5,3042,1,1,579,3464,19.4841943978386,144.8733,-37.7226,3.84049084633615,3.40466090062314
101,3,445000,13.5,3042,1,2,278.9,3464,6.3109597444576,145.03902,-37.808984,3.83656402355319,3.47946316738329
102,2,510000,13.5,3042,1,1,141,3464,19.2635065300349,144.8797,-37.7202,3.84090487325094,6.96738502880874
103,3,612000,13.5,3042,2,1,212,3464,19.2621654160217,144.8824,-37.7181,3.84119030385942,4.68214458758897
104,3,662000,13.5,3042,1,2,612,3464,19.4130472001522,144.8815,-37.7169,3.84128865309715,6.09974248943001
105,4,978000,13.5,3042,3,2,532,3464,19.4878419619565,144.869,-37.7263,3.84000021205366,5.79665655906887
106,3,720000,13.5,3042,1,1,585,3464,19.3855837538008,144.878,-37.72,3.84088016967126,3.55323853594926
107,2,474000,13.5,3042,1,1,400.3,3464,7.8890461704827,145.038061,-37.777065,3.83968308484178,4.81599515193102
108,2,490000,13.5,3042,1,1,212,3464,4.75652310472413,145.055641,-37.812063,3.83664601987576,5.98871503925555
109,3,405000,13.5,3042,1,2,500.2,3464,9.49015713094032,144.99747,-37.767702,3.84021699834237,4.62362460131738
110,3,715000,13.5,3042,1,2,493.2,3464,6.76144905275945,145.039,-37.806168,3.83648502954993,3.51461046945087
111,3,671500,13.5,3042,2,1,417.6,3464,7.9407729140132,144.99817,-37.777008,3.83820035743835,6.04549927699592
112,4,765000,13.5,3042,1,2,509,3464,18.8840856861188,144.8785,-37.7261,3.8402723843705,8.30659387816027
113,4,900000,13.5,3042,2,3,628,3464,19.2189672282214,144.8739,-37.7256,3.8402013486863,4.555942980235
114,3,820000,13.5,3042,2,2,328.4,3464,7.07170708683523,145.011938,-37.803747,3.83599119300866,5.76360504893427
115,3,650000,13.5,3042,1,2,425.1,3464,5.72996301975692,144.986394,-37.800371,3.83501782106859,3.48387214214398
116,3,552000,13.5,3042,1,2,397,3464,8.16884016383817,144.9952,-37.774788,3.8384068333368,3.44536675211527
117,2,1275000,3.3,3206,1,0,120,3280,6.98789116722475,144.9555,-37.8459,3.83015069003512,5.73041675363048
118,2,1455000,3.3,3206,1,0,159,3280,7.13287045247044,144.9538,-37.845,3.83019685559519,3.39891921768094
119,3,2850000,3.3,3206,2,0,211,3280,7.49609742143254,144.9499,-37.8481,3.82978009464147,3.63984888357173
120,3,1850000,3.3,3206,2,0,128,3280,7.57347983121671,144.9488,-37.8452,3.83004449705643,3.57187575387197
121,2,1436000,3.3,3206,1,0,130,3280,6.89043188948787,144.9565,-37.8431,3.83046050667097,5.99685053810449
122,2,1110000,3.3,3206,1,0,147,3280,7.60580209512912,144.9484,-37.8444,3.8301148915031,5.79791094263398
123,2,1110000,3.3,3206,1,0,147,3280,19.2348883132595,144.92699,-37.69186,3.84504744525741,4.52518588209835
124,2,1550000,3.3,3206,1,1,167,3280,7.28118340735214,144.9521,-37.8405,3.83060741797809,4.7081132383022
125,4,2300000,3.3,3206,2,1,153,3280,7.26365522403002,144.9523,-37.8447,3.83018758240916,5.90225371086063
126,3,1550000,3.3,3206,2,2,718,3280,6.60247453629301,144.9598,-37.8443,3.8304262464889,4.60980121278381
127,3,1800000,3.3,3206,2,1,132,3280,7.28729241033774,144.952,-37.8415,3.83050354769235,7.89837366358444
128,3,2485000,3.3,3206,2,2,176.6,3280,6.32641225372432,144.962789,-37.840325,3.83080132615602,4.81206501233256
129,2,2120000,3.3,3206,1,1,199,3280,6.98715211365713,144.9554,-37.8422,3.83052253833022,3.52350116594655
130,3,1800000,3.3,3206,1,1,253,3280,6.76964071740925,144.9579,-37.8443,3.83037604077761,5.88581931913822
131,3,1800000,3.3,3206,2,1,90,3280,6.83759923673439,144.9571,-37.8421,3.83057758422498,4.7133819010019
132,2,1810000,3.3,3206,1,0,240,3280,7.13805117590829,144.9539,-37.8379,3.83091820634866,5.78773798671074
133,3,2615000,3.3,3206,2,1,177,3280,6.71524016673836,144.9585,-37.8415,3.83067531678184,4.52691269496242
134,5,2100000,3.3,3206,2,1,237,3280,6.96151901204877,144.9557,-37.8436,3.83038875794058,16.4013152036518
135,3,1300000,3.3,3206,1,0,129,3280,7.5504722137282,144.949,-37.8422,3.83035341497059,4.65700717975536
136,3,1370000,3.3,3206,2,2,0,3280,7.37076559109984,144.9511,-37.8451,3.83011539142452,2.3145753800386
137,2,1000000,3.3,3206,1,0,288,3280,7.26291264728166,144.9523,-37.8407,3.83059245732769,7.11288445230033
138,3,2575000,3.3,3206,2,1,228,3280,7.45653203103856,144.9501,-37.8445,3.83014969150075,3.46958021254834
139,2,1322500,3.3,3206,1,0,149,3280,7.63191474360031,144.9481,-37.8443,3.83011708500355,4.56386661282301
140,2,1322500,3.3,3206,1,0,149,3280,19.1934124604398,144.92779,-37.69193,3.84506152908593,7.2545991323951
141,2,1562500,3.3,3206,1,0,141,3280,6.9166346475436,144.9562,-37.8424,3.83052343403167,5.72767577561346
142,3,2000000,3.3,3206,2,1,211,3280,6.81978978925776,144.9575,-37.847,3.83009221338547,6.85354789448443
143,3,1900000,3.3,3206,1,0,209,3280,7.07289543018288,144.9546,-37.8468,3.83003582865658,3.41287483853846
144,3,3010000,3.3,3206,2,0,147,3280,7.03289340007632,144.9551,-37.8473,3.82999844110412,3.47306547683163
145,4,2800000,3.3,3206,3,1,327,3280,7.69588198550327,144.9475,-37.8467,3.82985834960512,3.63474127585363
146,2,647000,3.3,3206,1,1,0,3280,7.10273901355472,144.9542,-37.846,3.83010621994398,7.23023010269855
147,3,2100000,3.3,3206,1,1,120,3280,7.05744576663298,144.9546,-37.8427,3.83045078707386,5.56834783408559
148,3,2000000,3.3,3206,1,1,238,3280,7.22637889112829,144.9528,-37.8461,3.83005910780767,5.89609863718267
149,1,442500,3.3,3206,1,0,0,3280,7.31289567377325,144.9517,-37.8421,3.8304348860132,5.57714375471996
150,4,4735000,3.3,3206,2,1,330,3280,6.97492659451523,144.9558,-37.8477,3.82997645827884,7.2120437357533
151,2,1340000,3.3,3206,1,0,136,3280,7.32247532959509,144.9517,-37.846,3.83004016276489,2.28698316313064
152,3,1801000,3.3,3206,1,1,202,3280,7.52401762778559,144.9493,-37.8429,3.83029049042225,5.97316577917696
153,3,1532000,3.3,3206,3,1,0,3280,6.71524016673836,144.9585,-37.8415,3.83067531678184,6.65168477932395
154,3,3755000,3.3,3206,2,2,325,3280,7.46370455969846,144.95,-37.8413,3.83047094048037,6.2296164127976
155,4,2140000,3.3,3206,2,1,183,3280,7.50687134458499,144.9495,-37.8434,3.83024516824598,5.55913021411486
156,2,1810000,3.3,3206,1,1,188.2,3280,6.61500212733645,144.959334,-37.842,3.83061084600553,4.77462244044136
157,2,1750000,3.3,3206,1,1,162,3280,7.56875286066759,144.9488,-37.8416,3.83040886220456,6.69571940988712
158,2,980000,3.3,3206,1,0,79,3280,7.30786005774945,144.9519,-37.8387,3.83078435569932,10.2634985243194
159,2,980000,3.3,3206,1,0,79,3280,7.85773390097427,145.0027,-37.7765,3.83843659417892,9.79231751242156
160,3,2030000,3.3,3206,2,0,152,3280,7.0472288925116,144.9551,-37.8488,3.82984665299825,3.53607278286161
161,3,1740000,3.3,3206,2,2,147,3280,7.87981913298576,144.9453,-37.8448,3.82999249566651,4.76543650299549
162,3,2800000,3.3,3206,3,1,0,3280,6.79112478003556,144.9577,-37.8399,3.8308161490913,3.4870761513541
163,1,985000,3.3,3206,1,0,81,3280,7.49056414401184,144.9497,-37.8411,3.830483257622,7.12911078677343
164,4,2000000,6.4,3078,2,4,853,2211,7.98044502628554,145.0318,-37.7707,3.83979645598308,4.58267022907448
165,3,1110000,6.4,3078,2,2,208,2211,6.34771816740451,145.0325,-37.7854,3.83832115049728,3.41299285431977
166,3,1492000,6.4,3078,2,2,411,2211,7.93270451712494,145.0279,-37.7713,3.83963220752264,6.8199771420306
167,2,480000,6.4,3078,1,1,340.1,2211,6.45824023248355,145.026849,-37.784585,3.83822923900825,6.72462596457588
168,3,1304000,6.4,3078,2,2,593.8,2211,6.49109781156176,145.025476,-37.783712,3.83816360963546,4.73911769398349
169,4,1717500,6.4,3078,2,1,599,2211,7.87217785984465,145.031,-37.7717,3.83967361807914,3.4870761513541
170,5,2840000,6.4,3078,4,4,809,2211,7.53171665185928,145.0268,-37.775,3.83922700198544,3.69996638638436
171,2,525500,6.4,3078,1,1,88,2211,7.05340508642819,145.0306,-37.7791,3.83891093223502,3.56838966186983
172,2,805000,6.4,3078,2,3,155,2211,6.90839979453397,145.0308,-37.7804,3.8387841314544,4.72965890073294
173,2,465000,6.4,3078,1,1,0,2211,7.24969292487437,145.0314,-37.7773,3.83911502410178,6.92396283283872
174,3,1480000,6.4,3078,1,2,496.8,2211,6.40472565613616,145.029139,-37.784774,3.83831520849092,4.71555650854875
175,3,2000000,6.4,3078,3,2,686,2211,6.94415951569622,145.0341,-37.78,3.83891212281631,7.35347513819784
176,3,1540000,6.4,3078,1,2,592,2211,7.46197096458371,145.0288,-37.7755,3.83922912999166,8.52581891055647
177,2,590000,6.4,3078,1,0,0,2211,6.46243259496788,145.026233,-37.784789,3.8381973624508,3.50495353324326
178,2,820000,6.4,3078,1,1,183,2211,7.56822316012733,145.0264,-37.7747,3.83924690335065,6.70473053583214
179,4,1830000,6.4,3078,2,2,606,2211,7.58173052774486,145.0316,-37.7743,3.83942521767445,3.93052483074237
180,4,2100000,6.4,3078,2,2,575,2211,7.80266450777207,145.0319,-37.7723,3.83963645316806,6.14819326371494
181,3,865000,6.4,3078,1,1,180,2211,6.98295054682786,145.0243,-37.7802,3.83863240533401,2.33982592448997
182,2,390000,6.4,3078,1,1,0,2211,7.24969292487437,145.0314,-37.7773,3.83911502410178,3.21068578506543
183,2,650000,6.4,3078,1,0,0,2211,6.46871737683859,145.025,-37.7848,3.83818360822341,3.8750721359736
184,2,512000,6.4,3078,1,1,0,2211,6.92971478579468,145.0262,-37.7805,3.83865221476688,5.45467708280156
185,3,1361000,6.4,3078,1,2,752.6,2211,7.0101441859263,145.0285,-37.7796,3.83880454001631,3.09303024913073
186,3,1310000,6.4,3078,1,2,548.4,2211,6.40891801862049,145.02862,-37.784634,3.83831520849092,2.3301495353204
187,3,570000,6.4,3078,2,2,195.2,2211,6.47523276241023,145.025515,-37.784594,3.8381824703436,3.08718413503417
188,3,1165000,6.4,3078,1,2,979,2211,7.05108890333465,145.029,-37.7792,3.83885841944774,3.11379928498619
189,2,530000,6.4,3078,1,1,17.6,2211,6.41564816407104,145.028159,-37.784612,3.83824554647601,2.3661599390755
190,4,1900000,6.4,3078,2,2,556,2211,6.54546865376617,145.0225,-37.7844,3.83815807581965,3.14422874977358
191,3,1485000,6.4,3078,0,0,597,2211,7.17681020887011,145.0284,-37.7781,3.83895431480143,3.86245206847049
192,4,1950000,6.4,3078,2,3,589,2211,7.85037766937841,145.0309,-37.7719,3.8396506397613,2.33452334409957
193,3,520000,13.8,3018,2,1,352,5301,18.7109030937756,144.825,-37.87,3.82426722999736,4.6378340077945
194,5,1525000,13.8,3018,3,3,729,5301,20.007612659396,144.8105,-37.8721,3.82367230758263,2.33389429282212
195,2,720000,13.8,3018,1,2,292,5301,19.1490248409684,144.8197,-37.8687,3.82425855653878,3.94953678902692
196,3,1120000,13.8,3018,1,2,506,5301,17.6132604668198,144.8375,-37.8693,3.82466800284135,3.89991756774551
197,4,780000,13.8,3018,1,4,655,5301,19.5118550394638,144.8154,-37.868,3.8242156966304,2.4130585104797
198,4,1780000,13.8,3018,3,6,1057,5301,19.2000502298809,144.819,-37.8681,3.82430066467554,2.38443864997935
199,3,630000,13.8,3018,1,2,311,5301,19.6440105507015,144.8143,-37.8702,3.823964489229,3.87790321342533
200,2,406000,13.8,3018,1,1,65,5301,19.385232780113,144.8171,-37.8693,3.82412930790905,3.87657668072452
201,3,660000,13.8,3018,1,1,602,5301,19.7550945423202,144.8116,-37.8616,3.82476176389799,3.95585861395155
202,3,683500,13.8,3018,1,1,530,5301,19.2576955164404,144.817,-37.8594,3.82512665282598,3.08657091554186
203,2,540000,13.8,3018,1,1,171,5301,4.57715520693068,145.03898,-37.811031,3.83581838226206,2.34237874525721
204,2,580000,13.8,3018,1,1,225,5301,18.5300716790979,144.827,-37.8696,3.82436043686757,2.38038543109535
205,3,1335000,13.8,3018,1,4,777,5301,18.7142346626163,144.8249,-37.8697,3.82429488482877,3.95650253022359
206,3,800000,13.8,3018,2,2,280,5301,19.7021874224613,144.8143,-37.8734,3.82364139475199,3.09134820472981
207,2,510000,13.8,3018,1,1,127,5301,19.2778634507997,144.8182,-37.8686,3.82422904464385,3.15478794519835
208,4,1070000,13.8,3018,2,2,695,5301,19.665607279205,144.8147,-37.8733,3.82366205215812,3.21285527101942
209,2,425000,13.8,3018,1,2,115,5301,19.2932441358899,144.8185,-37.871,3.82399461329249,3.93796924744846
210,3,605000,13.8,3018,2,2,230,5301,18.4489325678377,144.827,-37.8646,3.82486544159981,3.10823708353336
211,3,705000,13.8,3018,2,2,197,5301,19.1460143758858,144.8181,-37.8579,3.82530726743956,3.89422311111553
212,2,391000,13.8,3018,1,1,0,5301,17.5079580932706,144.8384,-37.8678,3.82484327053592,4.70563637550133
213,2,440000,13.8,3018,1,1,0,5301,18.1199820822602,144.831,-37.8659,3.82483976348113,3.87232008134793
214,4,845000,13.8,3018,1,2,745,5301,19.4695795797272,144.8155,-37.8658,3.82444052416693,4.72154542135625
215,3,766000,13.8,3018,1,2,471.1,5301,5.4375339662394,145.03097,-37.810397,3.8358736947004,4.02593071391764
216,3,743000,13.8,3018,2,2,211,5301,19.4893691108637,144.816,-37.8698,3.82404977052955,3.13342300436462
217,3,650000,13.8,3018,1,2,484.1,5301,5.3630985289382,145.02312,-37.808181,3.83554149541635,2.33389429282212
218,3,730000,13.8,3018,2,1,69,5301,18.3631890495357,144.8286,-37.868,3.82456427590578,3.93820932452528
219,3,916500,13.8,3018,1,2,550.1,5301,6.37652538436399,145.03231,-37.810527,3.83530842077168,3.09064134340585
220,3,635000,13.8,3018,1,4,625,5301,19.766807340638,144.8114,-37.8611,3.82480699187292,3.1853084320581
221,2,620000,13.8,3018,1,1,168,5301,19.087512142077,144.8202,-37.8676,3.82438284971849,3.95521520456589
222,2,447000,13.8,3018,1,1,137,5301,18.2095872252852,144.8299,-37.8655,3.82485111777211,3.06184838385822
223,3,730000,13.8,3018,2,1,70,5301,18.3544932776097,144.8287,-37.868,3.82456691665786,3.12342524679329
224,3,678000,13.8,3018,1,2,606,5301,19.6758644850428,144.8124,-37.8608,3.82486371127921,4.81661470120322
225,2,580000,13.8,3018,2,1,175,5301,18.5316488592169,144.8268,-37.8687,3.8244460464711,2.37049142349022
226,3,712000,13.8,3018,1,2,363,5301,17.5791755096346,144.8375,-37.8674,3.8248599058821,3.28471041518964
227,3,840000,13.8,3018,2,2,534,5301,18.6075826147407,144.8245,-37.86,3.82526413100898,6.6925388741312
228,3,980000,13.8,3018,1,2,724,5301,19.3599004515541,144.817,-37.8672,3.82433874170786,3.20838254338441
229,4,1000000,13.8,3018,2,2,673.6,5301,10.2111033041986,145.031569,-37.768667,3.84023844859681,3.30228029975518
230,3,605100,13.8,3018,2,0,265,5301,19.2288424996915,144.8172,-37.8583,3.82524307747575,2.48969276128512
231,3,880000,13.8,3018,3,1,577,5301,18.8393818151435,144.8235,-37.8699,3.82423771913842,3.34093724561707
232,3,577000,13.8,3018,2,1,205,5301,19.5530979068447,144.815,-37.8684,3.82416473893801,3.21073024928142
233,4,1030000,13.8,3018,1,0,797,5301,17.4561652663884,144.8387,-37.8663,3.82500270689241,3.21684782880648
234,3,605000,13.8,3018,1,2,181,5301,18.9042395345734,144.822,-37.8659,3.82460208261259,4.19628276904531
235,3,685000,13.8,3018,1,2,478.3,5301,5.53703104208631,145.02654,-37.809303,3.83566010265648,3.33792448552687
